Título,Vínculo,Fecha,Contenido
Alexis Vega  y Cristian Calderón piden perdón y regresan con Chivas,https://www.jornada.com.mx/2023/10/19/deportes/a12n3dep?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Los futbolistas del Guadalajara Alexis Vega, Cristian Calderón y Raúl Martínez regresaron ayer a los entrenamientos conjuntos del equipo, tras ser separados de forma indefinida por la directiva hace un par de semanas por quebrantar el reglamento interno."
Militares israelíes matan a dos jóvenes palestinos en Cisjordania reocupada,https://www.jornada.com.mx/2023/10/19/politica/005n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Ramalá. Las fuerzas israelíes mataron a tiros ayer a dos adolescentes palestinos cerca de Ramalá, en Cisjordania reocupada, durante protestas generalizadas contra los bombardeos israelíes contra la franja de Gaza, informaron funcionarios palestinos."
Inti-Illimani canta a la memoria de Salvador Allende y Víctor Jara,https://www.jornada.com.mx/2023/10/19/espectaculos/a08n2esp?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","“El pueblo unido jamás será vencido”, cantaban los reunidos en el auditorio Siglo XXI del IMSS. Era el final del concierto del grupo chileno Inti-Illimani. Histórico, por el cierre de las actividades artísticas y académicas en México para evocar que la democracia chilena fue arrebatada violentamente hace 50 años por una dictadura militar atroz."
Demanda la ONU “alto el fuego humanitario inmediato” en Gaza,https://www.jornada.com.mx/2023/10/19/politica/008n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Pekín. El secretario general de la Organización de Naciones Unidas (ONU), Antonio Guterres, urgió ayer a un “alto el fuego humanitario inmediato” en la franja de Gaza, y dijo que los ataques del movimiento Hamas no justifican el “castigo colectivo” del pueblo palestino."
Samuel García deberá renunciar si quiere contender en 2024,https://www.jornada.com.mx/2023/10/19/estados/033n4est?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Por mayoría de votos, la sala superior del Tribunal Electoral del Poder Judicial de la Federación (TEPJF) rechazó la solicitud del gobernador de Nuevo León, Samuel García, para que los magistrados emitieran una declaración en la que señalaran que el mandatario tiene derecho a pedir licencia al cargo para contender por la candidatura presidencial, y no renunciar, como lo plantean algunos integrantes de la oposición. Además, García solicitó que el TEPJF fuera la instancia que otorgara la licencia a partir del 2 de diciembre por seis meses, y señalar que podía designar a su suplente. Si bien el proyecto elaborado por la magistrada Mónica Soto sí concedía la “acción declarativa”, ésta sólo indicaba que la Constitución local permite al gobernador pedir licencia hasta por seis meses y luego volver al cargo. Sin embargo, cuatro de sus colegas no opinaron lo mismo sobre la petición de García, militante de Movimiento Ciudadano, único partido que no ha designado a su virtual candidato."
Evalúan los aportes de  la ciencia espacial al desarrollo de Cuba,https://www.jornada.com.mx/2023/10/19/ciencias/a06n2cie?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","La Habana. Especialistas del Instituto de Geofísica y Astronomía de Cuba (IGA) evaluaron ayer las contribuciones de la ciencia y la tecnología espaciales al desarrollo local, en un taller nacional sobre el espacio ultraterrestre y su uso pacífico."
Víctor M. Quintana S.: La victoria irreversible del movimiento por los libros de texto,https://www.jornada.com.mx/2023/10/19/politica/024a2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","La fuerza del movimiento social en defensa de los Libros de Texto Gratuitos (LTG) terminó por derrotar el engrudo hecho bolas de la coalición de derecha en Chihuahua. El 17 y 18 sus promotores se desistieron de los amparos contra la distribución de los libros, obligados por la presión masiva sobre la gobernadora y sus aliados por la entidad."
México tiene impulso para crecer hasta 2025 por encima de su potencial: FMI,https://www.jornada.com.mx/2023/10/19/economia/025n1eco?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El Fondo Monetario Internacional (FMI) estima que la economía mexicana crezca este y los próximos dos años por encima de su potencial, lo que aviva los riesgos de que las presiones inflacionarias se mantengan y el Banco de México deba mantener por más tiempo la embocadura a la actividad económica a través de las tasas de interés."
Avalan diputados Ley de Ingresos; se prevé contratar deuda por 1.9 billones de pesos,https://www.jornada.com.mx/2023/10/19/politica/014n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","La Cámara de Diputados aprobó anoche en lo general la Ley de Ingresos de la Federación 2024, que prevé recursos por 9 billones 66 mil millones, de los cuales 1.9 billones tendrán su origen en contratación de deuda. El monto de endeudamiento fue defendido por Morena con el argumento de que se destinará a financiar el término de las obras prioritarias del sexenio."
"Al final la Corte decidirá, admite Luis María Aguilar",https://www.jornada.com.mx/2023/10/19/politica/010n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Luego de que diputados aprobaron desaparecer 13 de los 14 fideicomisos que maneja el Poder Judicial de la Federación (PJF), el ministro de la Suprema Corte de Justicia de la Nación (SCJN) Luis María Aguilar Morales afirmó que dichos fondos apoyan la autonomía e independencia de jueces y magistrados."
